FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
 11.889	 24.555	  3.00037	  2.29745	  0.23094	  1.62312	  0.72788	 -0.04104	  3.16649	711.44000	 23.40	
 11.890	 16.390	  2.99955	  2.35632	  0.19079	  1.45480	  0.87506	 -0.04214	  3.16655	711.53003	 23.40	
 11.899	  8.217	  2.99885	  2.39159	  0.17035	  1.28170	  1.03576	 -0.04640	  3.16617	711.56000	 23.40	
 11.900	  0.000	  2.99919	  2.39997	  0.16744	  1.11513	  1.20088	 -0.05070	  3.16801	711.52002	 23.40	
 11.899	 -8.217	  2.99552	  2.37779	  0.18174	  0.95193	  1.37051	 -0.05284	  3.16650	711.47998	 23.40	
 11.890	-16.390	  2.99419	  2.32802	  0.21851	  0.79841	  1.54168	 -0.06365	  3.16728	711.08002	 23.40	
 11.889	-24.555	  2.99088	  2.25521	  0.26683	  0.65846	  1.70246	 -0.06715	  3.16589	711.50000	 23.40	
 11.909	-32.701	  2.98685	  2.15807	  0.33114	  0.52747	  1.85635	 -0.07283	  3.16467	711.47998	 23.40	
 11.902	-40.852	  2.98549	  2.04079	  0.41791	  0.41365	  2.00201	 -0.07379	  3.16688	711.40997	 23.40	
 11.894	-49.133	  2.98340	  1.89923	  0.52685	  0.31682	  2.12949	 -0.07589	  3.16721	711.57001	 23.40	
 11.897	-57.268	  2.97874	  1.74627	  0.64687	  0.24067	  2.23141	 -0.07633	  3.16503	711.51001	 23.40	
 11.903	-65.403	  2.97549	  1.58683	  0.78036	  0.18233	  2.31279	 -0.07838	  3.16570	711.42999	 23.40	
 11.893	-73.654	  2.97212	  1.41743	  0.93018	  0.14228	  2.36900	 -0.07844	  3.16599	711.51001	 23.40	
 11.892	-81.845	  2.97283	  1.24717	  1.09232	  0.12066	  2.40280	 -0.07712	  3.16989	711.46002	 23.40	
 11.900	-90.000	  2.96849	  1.08164	  1.25479	  0.11393	  2.40559	 -0.07569	  3.16887	711.53003	 23.40	
 11.892	-98.155	  2.96412	  0.92144	  1.42293	  0.12880	  2.37983	 -0.07751	  3.16750	711.48999	 23.40	
 11.893	-106.346	  2.96151	  0.76822	  1.59192	  0.16149	  2.32780	 -0.08061	  3.16719	711.45001	 23.40	
 11.903	-114.597	  2.95649	  0.62624	  1.75483	  0.20935	  2.24957	 -0.08151	  3.16601	711.56000	 23.40	
 11.897	-122.732	  2.95543	  0.49971	  1.90893	  0.27680	  2.15080	 -0.08078	  3.16673	711.53003	 23.40	
 11.894	-130.867	  2.95140	  0.38555	  2.04955	  0.36109	  2.03020	 -0.07982	  3.16473	711.53998	 23.40	
 11.902	-139.148	  2.94874	  0.28830	  2.17781	  0.46610	  1.88950	 -0.08075	  3.16531	711.50000	 23.40	
 11.909	-147.299	  2.94932	  0.20894	  2.28469	  0.58641	  1.73656	 -0.08285	  3.16596	710.75000	 23.40	
 11.889	-155.445	  2.94988	  0.15263	  2.36805	  0.72327	  1.57552	 -0.08541	  3.16701	711.50000	 23.40	
 11.890	-163.610	  2.95030	  0.11183	  2.42513	  0.87216	  1.40856	 -0.08877	  3.16780	711.53003	 23.40	
 11.899	-171.783	  2.94824	  0.08918	  2.45678	  1.03159	  1.23991	 -0.08883	  3.16729	711.50000	 23.40	
 11.900	180.000	  2.94910	  0.08489	  2.46142	  1.19919	  1.07095	 -0.08808	  3.16560	711.48999	 23.40	
 13.600	180.000	  2.87203	 -0.09776	  2.58413	  1.14480	  1.00100	 -0.11278	  3.16710	711.25000	 23.40	
 13.608	-172.853	  2.86864	 -0.09531	  2.57974	  0.97891	  1.16397	 -0.11051	  3.16476	711.46002	 23.40	
 13.611	-165.583	  2.86750	 -0.07623	  2.55170	  0.81399	  1.33718	 -0.10867	  3.16524	711.58002	 23.40	
 13.601	-158.353	  2.87040	 -0.04153	  2.50271	  0.66548	  1.50653	 -0.10569	  3.16697	711.44000	 23.40	
 13.609	-151.210	  2.87023	  0.01019	  2.42639	  0.52682	  1.67201	 -0.10281	  3.16466	711.51001	 23.40	
